timestamp,gas_nm3,air_flow,feedwater_t,steam_t,load_mw,flue_o2_pct
2026-09-01T00:00:00,567.2,6372.6,28.44,27.08,4.44,3.8
2026-09-01T01:00:00,567.0,6349.8,28.76,27.39,4.49,3.2
2026-09-01T02:00:00,569.7,6380.6,29.08,27.69,4.54,3.2
2026-09-01T03:00:00,572.5,6411.4,29.4,28.0,4.59,3.2
2026-09-01T04:00:00,575.2,6442.2,29.72,28.3,4.64,3.2
2026-09-01T05:00:00,564.2,6319.0,28.44,27.08,4.44,3.2
2026-09-01T06:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-01T07:00:00,600.5,6725.6,32.67,31.11,5.1,3.2
2026-09-01T08:00:00,603.2,6756.4,32.99,31.41,5.15,3.2
2026-09-01T09:00:00,606.0,6787.2,33.31,31.72,5.2,3.2
2026-09-01T10:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-01T11:00:00,600.8,6728.4,32.35,30.8,5.05,3.2
2026-09-01T12:00:00,600.5,6725.6,32.67,31.11,5.1,3.2
2026-09-01T13:00:00,603.2,6776.4,32.99,31.41,5.15,3.2
2026-09-01T14:00:00,606.0,6787.2,33.31,31.72,5.2,3.2
2026-09-01T15:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-01T16:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-01T17:00:00,600.5,6725.6,32.67,31.11,5.1,3.8
2026-09-01T18:00:00,603.2,6756.4,32.99,31.41,5.15,3.2
2026-09-01T19:00:00,606.0,6787.2,33.31,31.72,5.2,3.2
2026-09-01T20:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-01T21:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-01T22:00:00,572.7,6414.2,29.08,27.69,4.54,3.2
2026-09-01T23:00:00,572.5,6411.4,29.4,28.0,4.59,3.2
2026-09-02T00:00:00,575.2,6442.2,29.72,28.3,4.64,3.2
2026-09-02T01:00:00,564.2,6319.0,28.44,27.08,4.44,3.2
2026-09-02T02:00:00,567.0,6369.8,28.76,27.39,4.49,3.2
2026-09-02T03:00:00,569.7,6380.6,29.08,27.69,4.54,3.2
2026-09-02T04:00:00,572.5,6411.4,29.4,28.0,4.59,3.2
2026-09-02T05:00:00,575.2,6442.2,29.72,28.3,4.64,3.2
2026-09-02T06:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-02T07:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-02T08:00:00,600.5,6725.6,32.67,31.11,5.1,3.2
2026-09-02T09:00:00,606.2,6790.0,32.99,31.41,5.15,3.2
2026-09-02T10:00:00,606.0,6787.2,33.31,31.72,5.2,3.8
2026-09-02T11:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-02T12:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-02T13:00:00,600.5,6725.6,32.67,31.11,5.1,3.2
2026-09-02T14:00:00,603.2,6756.4,32.99,31.41,5.15,3.2
2026-09-02T15:00:00,606.0,6807.2,33.31,31.72,5.2,3.2
2026-09-02T16:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-02T17:00:00,597.8,6694.8,32.35,30.8,5.05,3.2
2026-09-02T18:00:00,600.5,6725.6,32.67,31.11,5.1,3.2
2026-09-02T19:00:00,603.2,6756.4,32.99,31.41,5.15,3.2
2026-09-02T20:00:00,609.0,6820.8,33.31,31.72,5.2,3.2
2026-09-02T21:00:00,595.0,6664.0,32.02,30.5,5.0,3.2
2026-09-02T22:00:00,567.0,6349.8,28.76,27.39,4.49,3.2
2026-09-02T23:00:00,569.7,6380.6,29.08,27.69,4.54,3.2
